"id";"area_construida_m2";"Bairro";"Cep";"cidade_uf";"Endereço";"fim_termo_convenio";"situacao_termo_convenio";"termo_convenio";"Situação";"uf"
"25301";NA;"Vila Tomé";"83560-000";"Itaperuçu                        - PR";"Rua Manoel Ribas,  450 ";"18/06/2015";"Vencido";"2916/2012";"
                            
                            Obra Cancelada";"PR"
"1005533";NA;"Conjunto Habitacional Monsenhor Francisco Gorski                                                    ";"83602-728";"Campo Largo                        - PR";"Rua Nigéria,  00 ";"01/12/2016";"Vigente";"6787/2013";"
                            
                            Obra Cancelada";"PR"
"1016914";NA;"Km 32                                                                                               ";"26298-740";"Nova Iguaçu                        - RJ";"Rua Santa Ângela,  000 ";"24/05/2018";"Vigente";"10658/2014";"
                            
                            Obra Cancelada";"RJ"
"1001284";NA;"Jardim Ideal                                                                                        ";"26281-460";"Nova Iguaçu                        - RJ";"Rua das Flores, Jardim Iguaçu,  ";"20/12/2016";"Vigente";"5086/2013";"
                            
                            Obra Cancelada";"RJ"
"24915";NA;"PANTANAL";"76800-000";"Porto Velho                        - RO";"AVENIDA JOSÉ VIEIRA CAÚLA, C/ RUA HUMAITÁ,  ";"31/12/2016";"Vigente";"4110/2014";"
                            
                            Obra Cancelada";"RO"
"20051";NA;"Areal";"96081-300";"Pelotas                        - RS";"Corredor do Obelisco, Loteamento Darcy Ribeiro, 000 ";"30/11/2026";"Vigente";"4136/2013";"
                            
                            Obra Cancelada";"RS"
"1005187";NA;"CIDADE NOVA (LOT. POPULAR MARIANI)                                                                  ";"95100-000";"Caxias do Sul                        - RS";"RUA MÁRIO MARCHETO, ESQ DEP. ULYSSES GUIMARÃES,  01 ";"03/10/2016";"Vigente";"6521/2013";"
                            
                            Obra Cancelada";"RS"
"1006099";NA;"Cachoeira do Bom Jesus                                                                              ";"88056-361";"Florianópolis                        - SC";"Rua da Caliandra Rosa, s/nº,  ";"17/12/2016";"Vigente";"7098/2013";"
                            
                            Obra Cancelada";"SC"
"24544";NA;"COMPLEXO TAIÇOCA";"49160-000";"Nossa Senhora do Socorro                        - SE";"RUA C, CONJUNTO NOVO HORIZONTE,  ";"25/06/2017";"Vigente";"3997/2013";"
                            
                            Obra Cancelada";"SE"
"24559";NA;"Centro                                                                                              ";"49790-000";"Aquidabã                        - SE";"Rua Porpriá, Em frente a Escola municipal Eurico de Souza Filho,  ";"30/11/2016";"Vigente";"10914/2014";"
                            
                            Obra Cancelada";"SE"
"1010690";NA;"Jardim Nova Alvorada                                                                                ";"13189-210";"Hortolândia                        - SP";"Rua 05,  00 ";"20/02/2017";"Vigente";"7744/2013";"
                            
                            Obra Cancelada";"SP"
"1010995";NA;"Jardim Amanda I                                                                                     ";"13188-105";"Hortolândia                        - SP";"Rua Cândido Portinari,  00 ";"08/12/2016";"Vigente";"11673/2014";"
                            
                            Obra Cancelada";"SP"
"1009910";NA;"FAZENDA                                                                                             ";"77760-000";"Colinas do Tocantins                        - TO";"ASSENTAMENTO AGRÍCOLA REAL,  000 ";"31/12/2015";"Vencido";"19955/2014";"
                            
                            Obra Cancelada";"TO"
"24860";NA;"Setor Central";"77970-000";"Praia Norte                        - TO";"Avenida Nossa Senhora do Carmo,   ";"27/05/2014";"Vencido";"3160/2012";"
                            
                            Obra Cancelada";"TO"
"1015989";853.2;"Comunidade do Socó                                                                                  ";"69970-000";"Tarauacá                        - AC";"Rio |Tarauacá, escola, 000 ";"30/06/2016";"Vigente";"29920/2014";"
                            
                            Paralisada";"AC"
"1013633";853.2;"Zona Rural                                                                                          ";"69970-000";"Tarauacá                        - AC";"BR 364 Sentido Tarauacá/Cruzeiro do Sul, BR 364 - Km 150  TK/CRZ Comunidade Boto., 000 ";"28/02/2017";"Vigente";"29915/2014";"
                            
                            Paralisada";"AC"
"30826";564.5;"Eldorado";"57480-000";"Delmiro Gouveia                        - AL";"Rua do Índio,   ";"22/09/2016";"Vigente";"3734/2013";"
                            
                            Paralisada";"AL"
"1017328";553;"Centro                                                                                              ";"57246-000";"Roteiro                        - AL";"Loteamento Nivaldo jatobá,  001 ";"08/01/2017";"Vigente";"10856/2014";"
                            
                            Paralisada";"AL"
"29678";207.35;"Zona Rural";"69240-000";"Autazes                        - AM";"Comunidade Nova Esperança,   ";"30/11/2016";"Vigente";"7483/2015";"
                            
                            Paralisada";"AM"
"19920";1271.78;"Vila Falcão                                                                                         ";"69830-000";"Lábrea                        - AM";"Rua Camilo Morato, -, 00 ";"31/12/2016";"Vigente";"1813/2011";"
                            
                            Paralisada";"AM"
"1017229";207.7;"Rural";"68920-000";"Laranjal do Jari                        - AP";"Comunidade Dona Maria do Cajari,  01 ";"30/06/2016";"Vigente";"29969/2014";"
                            
                            Paralisada";"AP"
"1001993";NA;"Centro                                                                                              ";"47120-000";"Buritirama                        - BA";"Travessa  Buriti,  00 ";"21/10/2016";"Vigente";"6031/2013";"
                            
                            Paralisada";"BA"
"25087";1118.48;"SANTANA";"47300-000";"Casa Nova                        - BA";"LARGO ESCOLA ARENI BEZERRA ,   ";"25/08/2016";"Vigente";"2585/2012";"
                            
                            Paralisada";"BA"
"1004847";NA;"Vila Lobo                                                                                           ";"63100-000";"Crato                        - CE";"Rua Projetada,  1 ";"30/09/2016";"Vigente";"6332/2013";"
                            
                            Paralisada";"CE"
"1018610";3906.08;"Planalto Ayrton Senna";"60000-000";"Fortaleza                        - CE";"Rua Coronel Queiroz, com Rua Paranai, 000 ";"31/12/2016";"Vigente";"47263/2014";"
                            
                            Paralisada";"CE"
"31593";1118.48;"Samambaia";"72308-500";"Brasília                        - DF";"QR 204 CONJ 16 LOTE 01,   ";"05/04/2017";"Vigente";"11501/2014";"
                            
                            Paralisada";"DF"
"30150";1118;"Samambaia";"72308-500";"Brasília                        - DF";"QS Samambaia - QS 409 AE 03,   ";"05/04/2017";"Vigente";"11501/2014";"
                            
                            Paralisada";"DF"
"19239";2860.61;"Penha";"29047-312";"Vitória                        - ES";"Rua João José de Souza,   ";"31/12/2016";"Vigente";"2498/2012";"
                            
                            Paralisada";"ES"
"19042";564.5;"Setor Central";"75955-000";"Indiara                        - GO";"Rua 02 Qd.11, Distrito de Carlândia,  ";"19/08/2016";"Vigente";"1180/2011";"
                            
                            Paralisada";"GO"
"1004244";851.63;"Setor Sul                                                                                           ";"75375-000";"Santo Antônio de Goiás                        - GO";"Rua Cosmo, Quadra 17, 00 ";"28/02/2017";"Vigente";"17192/2014";"
                            
                            Paralisada";"GO"
"1015390";727.28;"ZONA RURAL                                                                                          ";"65263-000";"Porto Rico do Maranhão                        - MA";"Rua do Transito, POVOADO RABECA, 00 ";"30/06/2016";"Vigente";"29665/2014";"
                            
                            Paralisada";"MA"
"1009410";1636;"Povoado São João da Mata                                                                            ";"65795-000";"Governador Luiz Rocha                        - MA";"Estrada Vicinal,  00 ";"08/08/2016";"Vigente";"22557/2014";"
                            
                            Paralisada";"MA"
